shipment_id,order_id,status,shipped_at,delivered_at
S0302,O0302,shipped,2025-04-14,
S0303,O0303,shipped,2025-02-16,
S0304,O0304,returned,2025-01-09,
S0305,O0305,pending,2025-06-30,
S0306,O0306,shipped,2025-05-25,
S0307,O0307,delivered,2025-05-23,2025-06-02
S0308,O0308,returned,2025-03-28,
S0309,O0309,shipped,2025-04-11,
S0310,O0310,pending,2025-01-14,
S0311,O0311,shipped,2025-06-19,
S0312,O0312,returned,2025-05-10,
S0313,O0313,returned,2025-06-20,
S0314,O0314,delivered,2025-03-05,2025-03-14
S0315,O0315,pending,2025-06-14,
S0316,O0316,returned,2025-03-21,
S0317,O0317,delivered,2025-04-23,2025-04-27
S0318,O0318,delivered,2025-06-13,2025-06-17
S0319,O0319,pending,2025-03-11,
S0320,O0320,shipped,2025-05-31,
S0321,O0321,pending,2025-03-04,
S0322,O0322,shipped,2025-04-21,
S0323,O0323,shipped,2025-01-24,
S0324,O0324,returned,2025-03-18,
S0325,O0325,returned,2025-06-17,
S0326,O0326,shipped,2025-02-19,
S0327,O0327,delivered,2025-01-18,2025-01-19
S0328,O0328,delivered,2025-04-05,2025-04-07
S0329,O0329,delivered,2025-06-18,2025-06-25
S0330,O0330,shipped,2025-06-10,
S0331,O0331,pending,2025-06-07,
S0332,O0332,delivered,2025-05-07,2025-05-15
S0333,O0333,pending,2025-06-14,
S0334,O0334,delivered,2025-05-21,2025-05-22
S0335,O0335,pending,2025-05-03,
S0336,O0336,pending,2025-03-19,
S0337,O0337,delivered,2025-03-09,2025-03-16
S0338,O0338,shipped,2025-03-01,
S0339,O0339,shipped,2025-04-12,
S0340,O0340,shipped,2025-05-12,
S0341,O0341,pending,2025-05-28,
S0342,O0342,delivered,2025-04-26,2025-04-28
S0343,O0343,shipped,2025-02-07,
S0344,O0344,pending,2025-02-10,
S0345,O0345,returned,2025-01-31,
S0346,O0346,delivered,2025-03-11,2025-03-18
S0347,O0347,delivered,2025-03-29,2025-04-03
S0348,O0348,shipped,2025-05-26,
S0349,O0349,shipped,2025-01-14,
S0350,O0350,pending,2025-05-28,
S0351,O0351,delivered,2025-01-08,2025-01-18
S0352,O0352,pending,2025-01-24,
S0353,O0353,returned,2025-05-05,
S0354,O0354,pending,2025-06-21,
S0355,O0355,shipped,2025-06-29,
S0356,O0356,shipped,2025-06-29,
S0357,O0357,pending,2025-03-01,
S0358,O0358,returned,2025-05-29,
S0359,O0359,delivered,2025-02-27,2025-03-05
S0360,O0360,pending,2025-03-20,
S0361,O0361,returned,2025-06-02,
S0362,O0362,shipped,2025-05-21,
S0363,O0363,delivered,2025-02-22,2025-03-03
S0364,O0364,returned,2025-01-13,
S0365,O0365,returned,2025-04-04,
S0366,O0366,delivered,2025-03-04,2025-03-13
S0367,O0367,shipped,2025-05-30,
S0368,O0368,pending,2025-05-02,
S0369,O0369,returned,2025-01-07,
S0370,O0370,shipped,2025-01-07,
S0371,O0371,returned,2025-05-02,
S0372,O0372,pending,2025-01-24,
S0373,O0373,returned,2025-03-01,
S0374,O0374,shipped,2025-02-04,
S0375,O0375,returned,2025-03-25,
S0376,O0376,returned,2025-06-08,
S0377,O0377,shipped,2025-03-15,
S0378,O0378,shipped,2025-03-02,
S0379,O0379,delivered,2025-02-28,2025-03-10
S0380,O0380,returned,2025-04-07,
S0381,O0381,pending,2025-05-24,
S0382,O0382,delivered,2025-04-05,2025-04-09
S0383,O0383,pending,2025-02-12,
S0384,O0384,pending,2025-05-19,
S0385,O0385,delivered,2025-06-04,2025-06-13
S0386,O0386,pending,2025-01-23,
S0387,O0387,shipped,2025-05-01,
S0388,O0388,shipped,2025-05-11,
S0389,O0389,pending,2025-06-06,
S0390,O0390,delivered,2025-06-03,2025-06-11
S0391,O0391,returned,2025-01-04,
S0392,O0392,delivered,2025-02-25,2025-03-01
S0393,O0393,delivered,2025-01-04,2025-01-05
S0394,O0394,returned,2025-04-10,
S0395,O0395,shipped,2025-01-17,
S0396,O0396,pending,2025-04-25,
S0397,O0397,returned,2025-02-03,
S0398,O0398,shipped,2025-01-06,
S0399,O0399,pending,2025-03-03,
S0400,O0400,shipped,2025-03-25,
S0401,O0401,delivered,2025-04-26,2025-04-30
S0402,O0402,shipped,2025-04-04,
S0403,O0403,pending,2025-03-15,
S0404,O0404,delivered,2025-02-26,2025-03-03
S0405,O0405,pending,2025-03-29,
S0406,O0406,shipped,2025-04-08,
S0407,O0407,pending,2025-05-01,
S0408,O0408,pending,2025-04-04,
S0409,O0409,returned,2025-04-13,
S0410,O0410,pending,2025-01-15,
S0411,O0411,shipped,2025-06-30,
S0412,O0412,returned,2025-05-04,
S0413,O0413,returned,2025-03-12,
S0414,O0414,delivered,2025-04-22,2025-04-24
S0415,O0415,pending,2025-06-25,
S0416,O0416,shipped,2025-01-13,
S0417,O0417,returned,2025-04-17,
S0418,O0418,returned,2025-04-07,
S0419,O0419,delivered,2025-04-05,2025-04-15
S0420,O0420,returned,2025-03-13,
S0421,O0421,delivered,2025-04-29,2025-05-07
S0422,O0422,shipped,2025-06-23,
S0423,O0423,shipped,2025-03-19,
S0424,O0424,shipped,2025-01-25,
S0425,O0425,delivered,2025-04-24,2025-04-28
S0426,O0426,returned,2025-05-07,
S0427,O0427,returned,2025-04-17,
S0428,O0428,pending,2025-01-01,
S0429,O0429,returned,2025-02-27,
S0430,O0430,returned,2025-04-10,
S0431,O0431,returned,2025-05-13,
S0432,O0432,pending,2025-03-15,
S0433,O0433,returned,2025-01-09,
S0434,O0434,shipped,2025-06-05,
S0435,O0435,delivered,2025-06-02,2025-06-10
S0436,O0436,shipped,2025-02-12,
S0437,O0437,returned,2025-01-24,
S0438,O0438,shipped,2025-03-25,
S0439,O0439,returned,2025-06-15,
S0440,O0440,shipped,2025-05-03,
S0441,O0441,returned,2025-02-02,
S0442,O0442,delivered,2025-04-11,2025-04-13
S0443,O0443,shipped,2025-03-04,
S0444,O0444,returned,2025-04-19,
S0445,O0445,returned,2025-02-06,
S0446,O0446,shipped,2025-03-21,
S0447,O0447,delivered,2025-01-02,2025-01-06
S0448,O0448,shipped,2025-05-06,
S0449,O0449,pending,2025-06-06,
S0450,O0450,pending,2025-03-31,
S0451,O0451,shipped,2025-04-12,
S0452,O0452,returned,2025-06-13,
S0453,O0453,pending,2025-03-28,
S0454,O0454,delivered,2025-02-02,2025-02-07
S0455,O0455,shipped,2025-04-26,
S0456,O0456,shipped,2025-04-12,
S0457,O0457,returned,2025-04-05,
S0458,O0458,shipped,2025-06-24,
S0459,O0459,delivered,2025-04-10,2025-04-11
S0460,O0460,delivered,2025-02-10,2025-02-20
S0461,O0461,delivered,2025-03-19,2025-03-28
S0462,O0462,delivered,2025-05-11,2025-05-15
S0463,O0463,delivered,2025-03-24,2025-03-29
S0464,O0464,returned,2025-06-25,
S0465,O0465,returned,2025-04-10,
S0466,O0466,returned,2025-04-12,
S0467,O0467,delivered,2025-05-10,2025-05-19
S0468,O0468,shipped,2025-05-12,
S0469,O0469,shipped,2025-04-03,
S0470,O0470,delivered,2025-04-03,2025-04-05
S0471,O0471,pending,2025-05-18,
S0472,O0472,delivered,2025-06-20,2025-06-28
S0473,O0473,pending,2025-02-23,
S0474,O0474,pending,2025-04-07,
S0475,O0475,delivered,2025-05-15,2025-05-24
S0476,O0476,returned,2025-04-17,
S0477,O0477,shipped,2025-04-28,
S0478,O0478,pending,2025-04-06,
S0479,O0479,pending,2025-01-26,
S0480,O0480,returned,2025-01-15,
S0481,O0481,returned,2025-03-11,
S0482,O0482,delivered,2025-03-01,2025-03-05
S0483,O0483,shipped,2025-05-30,
S0484,O0484,pending,2025-06-02,
S0485,O0485,pending,2025-02-10,
S0486,O0486,shipped,2025-02-05,
S0487,O0487,pending,2025-05-06,
S0488,O0488,delivered,2025-03-26,2025-04-01
S0489,O0489,delivered,2025-04-22,2025-04-26
S0490,O0490,shipped,2025-06-01,
S0491,O0491,delivered,2025-05-12,2025-05-13
S0492,O0492,shipped,2025-06-05,
S0493,O0493,delivered,2025-05-14,2025-05-17
S0494,O0494,returned,2025-03-22,
S0495,O0495,shipped,2025-06-24,
S0496,O0496,returned,2025-05-23,
S0497,O0497,pending,2025-04-12,
S0498,O0498,pending,2025-02-17,
S0499,O0499,pending,2025-06-03,
S0500,O0500,pending,2025-05-08,
S0501,O0501,delivered,2025-04-04,2025-04-07
S0502,O0502,shipped,2025-05-04,
S0503,O0503,delivered,2025-02-17,2025-02-18
S0504,O0504,pending,2025-04-16,
S0505,O0505,shipped,2025-06-09,
S0506,O0506,shipped,2025-03-21,
S0507,O0507,returned,2025-03-12,
S0508,O0508,delivered,2025-06-23,2025-06-30
S0509,O0509,pending,2025-03-02,
S0510,O0510,delivered,2025-04-02,2025-04-09
S0511,O0511,delivered,2025-04-20,2025-04-25
S0512,O0512,delivered,2025-01-09,2025-01-12
S0513,O0513,returned,2025-04-05,
S0514,O0514,returned,2025-05-05,
S0515,O0515,pending,2025-04-10,
S0516,O0516,returned,2025-06-29,
S0517,O0517,delivered,2025-02-15,2025-02-16
S0518,O0518,shipped,2025-03-05,
S0519,O0519,delivered,2025-05-29,2025-06-05
S0520,O0520,delivered,2025-04-27,2025-04-29
S0521,O0521,pending,2025-06-10,
S0522,O0522,delivered,2025-04-19,2025-04-29
S0523,O0523,pending,2025-02-20,
S0524,O0524,shipped,2025-02-23,
S0525,O0525,shipped,2025-04-21,
S0526,O0526,shipped,2025-03-25,
S0527,O0527,pending,2025-01-27,
S0528,O0528,shipped,2025-03-05,
S0529,O0529,pending,2025-03-25,
S0530,O0530,returned,2025-06-18,
S0531,O0531,shipped,2025-04-09,
S0532,O0532,delivered,2025-06-17,2025-06-21
S0533,O0533,shipped,2025-01-19,
S0534,O0534,delivered,2025-03-31,2025-04-06
S0535,O0535,delivered,2025-04-27,2025-04-29
S0536,O0536,returned,2025-03-22,
S0537,O0537,returned,2025-06-24,
S0538,O0538,pending,2025-03-26,
S0539,O0539,returned,2025-03-17,
S0540,O0540,returned,2025-01-05,
S0541,O0541,pending,2025-01-28,
S0542,O0542,returned,2025-03-31,
S0543,O0543,returned,2025-01-12,
S0544,O0544,pending,2025-05-12,
S0545,O0545,returned,2025-06-26,
S0546,O0546,delivered,2025-06-29,2025-06-30
S0547,O0547,shipped,2025-03-24,
S0548,O0548,shipped,2025-06-30,
S0549,O0549,shipped,2025-02-06,
S0550,O0550,delivered,2025-06-02,2025-06-04
S0551,O0551,shipped,2025-03-03,
S0552,O0552,pending,2025-05-20,
S0553,O0553,returned,2025-06-14,
S0554,O0554,delivered,2025-03-13,2025-03-16
S0555,O0555,shipped,2025-02-05,
S0556,O0556,pending,2025-04-07,
S0557,O0557,pending,2025-01-04,
S0558,O0558,returned,2025-01-29,
S0559,O0559,pending,2025-06-25,
S0560,O0560,pending,2025-01-19,
S0561,O0561,returned,2025-06-04,
S0562,O0562,delivered,2025-03-10,2025-03-19
S0563,O0563,pending,2025-02-10,
S0564,O0564,shipped,2025-02-11,
S0565,O0565,delivered,2025-02-26,2025-02-27
S0566,O0566,pending,2025-03-20,
S0567,O0567,pending,2025-03-30,
S0568,O0568,returned,2025-04-02,
S0569,O0569,shipped,2025-02-06,
S0570,O0570,pending,2025-01-28,
S0571,O0571,shipped,2025-04-15,
S0572,O0572,pending,2025-01-23,
S0573,O0573,delivered,2025-06-09,2025-06-12
S0574,O0574,delivered,2025-02-01,2025-02-07
S0575,O0575,shipped,2025-06-08,
S0576,O0576,delivered,2025-04-21,2025-05-01
S0577,O0577,pending,2025-03-21,
S0578,O0578,delivered,2025-01-10,2025-01-20
S0579,O0579,shipped,2025-03-12,
S0580,O0580,returned,2025-01-09,
S0581,O0581,shipped,2025-02-03,
S0582,O0582,returned,2025-01-14,
S0583,O0583,delivered,2025-04-18,2025-04-26
S0584,O0584,returned,2025-05-26,
S0585,O0585,returned,2025-02-23,
S0586,O0586,pending,2025-02-05,
S0587,O0587,returned,2025-04-27,
S0588,O0588,delivered,2025-04-19,2025-04-29
S0589,O0589,shipped,2025-05-29,
S0590,O0590,returned,2025-04-13,
S0591,O0591,shipped,2025-01-31,
S0592,O0592,returned,2025-05-16,
S0593,O0593,delivered,2025-04-02,2025-04-05
S0594,O0594,pending,2025-06-20,
S0595,O0595,shipped,2025-02-20,
S0596,O0596,pending,2025-05-20,
S0597,O0597,pending,2025-01-25,
S0598,O0598,delivered,2025-02-18,2025-02-23
S0599,O0599,returned,2025-01-07,
S0600,O0600,pending,2025-02-24,
S0601,O0601,returned,2025-04-25,
S0602,O0602,shipped,2025-01-03,
S0603,O0603,returned,2025-04-20,
S0604,O0604,pending,2025-01-28,
S0605,O0605,delivered,2025-01-20,2025-01-25
S0606,O0606,shipped,2025-04-24,
S0607,O0607,shipped,2025-04-14,
S0608,O0608,returned,2025-06-14,
S0609,O0609,shipped,2025-03-03,
S0610,O0610,shipped,2025-05-06,
S0611,O0611,returned,2025-02-28,
S0612,O0612,returned,2025-03-18,
S0613,O0613,returned,2025-02-20,
S0614,O0614,pending,2025-05-04,
S0615,O0615,delivered,2025-05-17,2025-05-21
S0616,O0616,pending,2025-01-05,
S0617,O0617,pending,2025-05-22,
S0618,O0618,delivered,2025-02-13,2025-02-20
S0619,O0619,delivered,2025-04-05,2025-04-10
S0620,O0620,shipped,2025-04-03,
S0621,O0621,pending,2025-03-20,
S0622,O0622,shipped,2025-02-01,
S0623,O0623,pending,2025-01-23,
S0624,O0624,pending,2025-03-02,
S0625,O0625,shipped,2025-03-24,
S0626,O0626,pending,2025-02-06,
S0627,O0627,returned,2025-03-17,
S0628,O0628,delivered,2025-02-24,2025-02-27
S0629,O0629,pending,2025-05-25,
S0630,O0630,delivered,2025-01-26,2025-02-01
S0631,O0631,returned,2025-01-16,
S0632,O0632,returned,2025-01-31,
S0633,O0633,delivered,2025-04-17,2025-04-19
S0634,O0634,returned,2025-03-20,
S0635,O0635,shipped,2025-01-07,
S0636,O0636,delivered,2025-04-29,2025-05-01
S0637,O0637,shipped,2025-05-24,
S0638,O0638,shipped,2025-06-23,
S0639,O0639,delivered,2025-06-04,2025-06-06
S0640,O0640,shipped,2025-01-25,
S0641,O0641,delivered,2025-05-10,2025-05-11
S0642,O0642,shipped,2025-02-21,
S0643,O0643,shipped,2025-02-01,
S0644,O0644,pending,2025-05-16,
S0645,O0645,delivered,2025-01-09,2025-01-15
S0646,O0646,returned,2025-03-11,
S0647,O0647,returned,2025-05-15,
S0648,O0648,shipped,2025-02-14,
S0649,O0649,delivered,2025-03-11,2025-03-17
S0650,O0650,pending,2025-05-14,
S0651,O0651,delivered,2025-02-19,2025-02-21
S0652,O0652,delivered,2025-01-01,2025-01-04
S0653,O0653,delivered,2025-01-22,2025-01-28
S0654,O0654,shipped,2025-02-06,
S0655,O0655,shipped,2025-04-30,
S0656,O0656,returned,2025-04-28,
S0657,O0657,shipped,2025-03-16,
S0658,O0658,returned,2025-03-21,
S0659,O0659,pending,2025-04-13,
S0660,O0660,pending,2025-01-24,
S0661,O0661,delivered,2025-04-02,2025-04-08
S0662,O0662,shipped,2025-01-15,
S0663,O0663,delivered,2025-05-29,2025-06-05
S0664,O0664,shipped,2025-04-26,
S0665,O0665,shipped,2025-05-15,
S0666,O0666,shipped,2025-01-11,
