order_id,customer_id,order_date
O0437,C025,2025-04-29
O0438,C076,2025-06-10
O0439,C033,2025-05-04
O0440,C030,2025-05-19
O0441,C049,2025-05-04
O0442,C080,2025-03-28
O0443,C013,2025-06-04
O0444,C011,2025-01-28
O0445,C065,2025-03-15
O0446,C007,2025-05-17
O0447,C079,2025-06-05
O0448,C090,2025-06-10
O0449,C041,2025-04-19
O0450,C057,2025-05-01
O0451,C043,2025-03-10
O0452,C043,2025-03-06
O0453,C066,2025-05-11
O0454,C046,2025-04-23
O0455,C088,2025-06-15
O0456,C071,2025-05-14
O0457,C002,2025-06-27
O0458,C097,2025-05-18
O0459,C043,2025-02-15
O0460,C027,2025-04-17
O0461,C042,2025-05-23
O0462,C082,2025-01-23
O0463,C004,2025-05-18
O0464,C100,2025-04-10
O0465,C084,2025-01-01
O0466,C016,2025-04-15
O0467,C025,2025-03-10
O0468,C053,2025-06-11
O0469,C086,2025-05-05
O0470,C014,2025-02-18
O0471,C030,2025-03-18
O0472,C025,2025-06-02
O0473,C056,2025-01-05
O0474,C070,2025-05-27
O0475,C003,2025-01-03
O0476,C056,2025-05-14
O0477,C069,2025-04-09
O0478,C038,2025-01-21
O0479,C018,2025-03-28
O0480,C081,2025-03-09
O0481,C035,2025-04-01
O0482,C083,2025-04-30
O0483,C013,2025-05-18
O0484,C057,2025-04-26
O0485,C044,2025-05-28
O0486,C072,2025-03-14
O0487,C086,2025-03-10
O0488,C090,2025-01-07
O0489,C015,2025-06-22
O0490,C077,2025-04-08
O0491,C039,2025-06-09
O0492,C022,2025-03-26
O0493,C085,2025-03-06
O0494,C067,2025-02-05
O0495,C098,2025-06-27
O0496,C077,2025-03-17
O0497,C056,2025-06-13
O0498,C074,2025-06-19
O0499,C052,2025-02-17
O0500,C007,2025-04-04
O0501,C092,2025-04-03
O0502,C098,2025-01-01
O0503,C012,2025-01-24
O0504,C090,2025-06-04
O0505,C026,2025-02-05
O0506,C016,2025-01-03
O0507,C066,2025-01-27
O0508,C087,2025-01-28
O0509,C095,2025-04-27
O0510,C073,2025-03-20
O0511,C088,2025-03-03
O0512,C087,2025-05-21
O0513,C095,2025-04-17
O0514,C062,2025-03-13
O0515,C040,2025-06-06
O0516,C035,2025-04-11
O0517,C094,2025-04-05
O0518,C021,2025-03-26
O0519,C050,2025-03-05
O0520,C097,2025-05-02
O0521,C038,2025-06-17
O0522,C077,2025-06-22
O0523,C007,2025-03-28
O0524,C009,2025-05-02
O0525,C010,2025-04-24
O0526,C030,2025-04-20
O0527,C044,2025-01-29
O0528,C035,2025-06-21
O0529,C072,2025-05-31
O0530,C072,2025-05-28
O0531,C046,2025-03-14
O0532,C090,2025-06-15
O0533,C015,2025-02-10
O0534,C020,2025-02-22
O0535,C018,2025-03-24
O0536,C002,2025-02-04
O0537,C054,2025-06-12
O0538,C056,2025-06-30
O0539,C099,2025-05-09
O0540,C038,2025-03-05
O0541,C047,2025-01-01
O0542,C099,2025-05-28
O0543,C090,2025-02-08
O0544,C060,2025-03-02
O0545,C049,2025-02-27
O0546,C002,2025-05-29
O0547,C085,2025-06-15
O0548,C037,2025-03-06
O0549,C042,2025-02-05
O0550,C083,2025-02-06
O0551,C030,2025-01-07
O0552,C089,2025-01-26
O0553,C001,2025-01-09
O0554,C003,2025-04-05
O0555,C003,2025-04-19
O0556,C090,2025-03-28
O0557,C032,2025-02-12
O0558,C019,2025-06-18
O0559,C002,2025-06-06
O0560,C027,2025-04-26
O0561,C075,2025-03-12
O0562,C096,2025-05-01
O0563,C083,2025-06-04
O0564,C002,2025-03-24
O0565,C074,2025-03-18
O0566,C017,2025-04-10
O0567,C036,2025-04-29
O0568,C065,2025-04-27
O0569,C048,2025-04-04
O0570,C051,2025-04-21
O0571,C016,2025-02-25
O0572,C005,2025-03-03
O0573,C052,2025-03-14
O0574,C077,2025-03-11
O0575,C079,2025-06-03
O0576,C087,2025-05-25
O0577,C072,2025-06-19
O0578,C008,2025-02-23
O0579,C030,2025-01-03
O0580,C002,2025-01-29
O0581,C045,2025-01-19
O0582,C072,2025-03-20
O0583,C054,2025-04-03
O0584,C009,2025-01-31
O0585,C059,2025-03-30
O0586,C048,2025-06-20
O0587,C037,2025-01-19
O0588,C024,2025-06-15
O0589,C008,2025-04-28
O0590,C082,2025-06-11
O0591,C062,2025-04-05
O0592,C053,2025-04-08
O0593,C040,2025-02-07
O0594,C069,2025-05-03
O0595,C089,2025-04-10
O0596,C060,2025-05-06
O0597,C072,2025-01-05
O0598,C013,2025-04-22
O0599,C029,2025-06-15
O0600,C079,2025-05-21
O0601,C045,2025-05-28
O0602,C086,2025-05-12
O0603,C022,2025-01-15
O0604,C080,2025-05-05
O0605,C064,2025-03-25
O0606,C009,2025-05-08
O0607,C028,2025-05-26
O0608,C044,2025-03-21
O0609,C100,2025-01-04
O0610,C089,2025-02-28
O0611,C044,2025-03-11
O0612,C003,2025-06-29
O0613,C048,2025-04-23
O0614,C072,2025-06-29
O0615,C037,2025-05-02
O0616,C061,2025-04-06
O0617,C091,2025-01-14
O0618,C043,2025-01-29
O0619,C046,2025-06-30
O0620,C075,2025-04-26
O0621,C095,2025-01-25
O0622,C100,2025-05-08
O0623,C060,2025-02-16
O0624,C094,2025-01-10
O0625,C096,2025-05-08
O0626,C076,2025-02-13
O0627,C046,2025-06-05
O0628,C055,2025-02-09
O0629,C062,2025-01-18
O0630,C068,2025-02-02
O0631,C070,2025-06-29
O0632,C005,2025-03-19
O0633,C048,2025-06-26
O0634,C031,2025-06-22
O0635,C046,2025-01-11
O0636,C041,2025-03-05
O0637,C082,2025-06-07
O0638,C026,2025-01-23
O0639,C058,2025-02-05
O0640,C068,2025-05-06
O0641,C076,2025-04-15
O0642,C008,2025-03-25
O0643,C001,2025-06-01
O0644,C060,2025-05-01
O0645,C095,2025-05-17
O0646,C066,2025-05-02
O0647,C085,2025-04-30
O0648,C084,2025-03-12
O0649,C033,2025-01-09
O0650,C018,2025-05-26
O0651,C034,2025-03-07
O0652,C067,2025-05-28
O0653,C045,2025-04-28
O0654,C016,2025-03-01
O0655,C024,2025-03-27
O0656,C024,2025-04-06
O0657,C019,2025-05-28
O0658,C023,2025-05-12
O0659,C047,2025-02-17
O0660,C009,2025-05-19
O0661,C020,2025-04-17
O0662,C050,2025-01-09
O0663,C059,2025-06-10
O0664,C075,2025-01-19
O0665,C053,2025-03-29
O0666,C093,2025-01-01
O0667,C046,2025-01-29
O0668,C020,2025-05-20
O0669,C019,2025-04-22
O0670,C005,2025-04-12
O0671,C064,2025-03-22
O0672,C080,2025-01-11
O0673,C016,2025-04-26
O0674,C067,2025-03-25
O0675,C005,2025-02-21
O0676,C030,2025-01-11
O0677,C008,2025-02-07
O0678,C077,2025-04-03
O0679,C047,2025-04-21
O0680,C070,2025-04-22
O0681,C050,2025-03-11
O0682,C037,2025-06-26
O0683,C022,2025-01-01
O0684,C095,2025-04-03
O0685,C026,2025-02-11
O0686,C079,2025-03-20
O0687,C032,2025-04-14
O0688,C058,2025-01-29
O0689,C084,2025-02-26
O0690,C030,2025-05-05
O0691,C065,2025-05-12
O0692,C071,2025-04-28
O0693,C045,2025-04-11
O0694,C099,2025-01-21
O0695,C013,2025-06-02
O0696,C073,2025-02-14
O0697,C039,2025-04-26
O0698,C091,2025-02-16
O0699,C025,2025-04-01
O0700,C044,2025-01-27
O0701,C012,2025-04-28
O0702,C045,2025-06-28
O0703,C059,2025-02-16
O0704,C056,2025-05-18
O0705,C076,2025-06-30
O0706,C049,2025-03-08
O0707,C044,2025-01-19
O0708,C062,2025-04-25
O0709,C036,2025-06-30
O0710,C030,2025-05-04
O0711,C046,2025-04-25
O0712,C086,2025-06-20
O0713,C036,2025-05-23
O0714,C075,2025-04-29
O0715,C016,2025-04-07
O0716,C020,2025-04-29
O0717,C093,2025-03-02
O0718,C079,2025-04-03
O0719,C084,2025-01-14
O0720,C049,2025-02-15
O0721,C046,2025-03-10
O0722,C084,2025-05-06
O0723,C006,2025-01-15
O0724,C017,2025-02-02
O0725,C087,2025-06-06
O0726,C041,2025-04-29
O0727,C087,2025-06-15
O0728,C025,2025-01-21
O0729,C009,2025-05-02
O0730,C084,2025-05-12
O0731,C036,2025-05-01
O0732,C061,2025-01-15
O0733,C040,2025-05-10
O0734,C049,2025-03-17
O0735,C069,2025-03-03
O0736,C075,2025-03-26
O0737,C062,2025-02-07
O0738,C027,2025-03-19
O0739,C092,2025-05-09
O0740,C062,2025-03-06
O0741,C081,2025-02-04
O0742,C073,2025-02-04
O0743,C087,2025-04-22
O0744,C004,2025-06-20
O0745,C035,2025-04-01
O0746,C047,2025-01-27
O0747,C061,2025-02-23
O0748,C032,2025-01-28
O0749,C098,2025-03-20
O0750,C010,2025-04-15
O0751,C063,2025-01-30
O0752,C071,2025-02-02
O0753,C036,2025-03-13
O0754,C030,2025-03-01
O0755,C023,2025-01-20
O0756,C057,2025-05-21
O0757,C026,2025-02-09
O0758,C075,2025-03-15
O0759,C054,2025-05-29
O0760,C025,2025-06-27
O0761,C062,2025-01-28
O0762,C082,2025-06-03
O0763,C028,2025-05-06
O0764,C028,2025-06-03
O0765,C092,2025-03-09
O0766,C052,2025-01-24
O0767,C021,2025-04-25
O0768,C074,2025-04-26
O0769,C046,2025-01-26
O0770,C016,2025-01-06
O0771,C062,2025-02-15
O0772,C057,2025-02-16
O0773,C059,2025-02-16
O0774,C047,2025-01-16
O0775,C023,2025-01-31
O0776,C029,2025-06-21
O0777,C045,2025-04-12
O0778,C049,2025-02-20
O0779,C069,2025-02-06
O0780,C092,2025-06-30
O0781,C047,2025-04-09
O0782,C074,2025-06-08
O0783,C001,2025-05-27
O0784,C084,2025-04-26
O0785,C061,2025-05-30
O0786,C092,2025-03-12
O0787,C070,2025-01-30
O0788,C052,2025-03-14
O0789,C020,2025-03-22
O0790,C077,2025-05-07
O0791,C011,2025-06-21
O0792,C070,2025-03-14
O0793,C062,2025-01-19
O0794,C032,2025-02-09
O0795,C095,2025-04-01
O0796,C080,2025-03-05
O0797,C012,2025-06-30
O0798,C049,2025-02-25
O0799,C008,2025-04-27
O0800,C089,2025-04-10
O0801,C055,2025-06-12
O0802,C069,2025-04-13
O0803,C055,2025-03-14
O0804,C031,2025-05-05
O0805,C078,2025-01-16
O0806,C031,2025-03-16
O0807,C076,2025-05-25
O0808,C043,2025-03-20
O0809,C095,2025-03-06
O0810,C037,2025-01-20
O0811,C072,2025-06-27
O0812,C012,2025-02-03
O0813,C005,2025-01-26
O0814,C049,2025-06-28
O0815,C050,2025-01-01
O0816,C097,2025-01-06
O0817,C096,2025-02-19
O0818,C014,2025-06-13
O0819,C072,2025-03-18
O0820,C086,2025-03-22
O0821,C046,2025-01-27
O0822,C030,2025-03-13
O0823,C050,2025-02-28
O0824,C091,2025-02-24
O0825,C057,2025-02-13
O0826,C045,2025-02-19
O0827,C074,2025-05-16
O0828,C079,2025-04-08
O0829,C092,2025-02-16
O0830,C074,2025-05-30
O0831,C067,2025-03-08
O0832,C014,2025-03-06
O0833,C031,2025-01-01
O0834,C080,2025-05-07
O0835,C074,2025-03-08
O0836,C078,2025-05-29
O0837,C097,2025-04-10
O0838,C035,2025-02-10
O0839,C058,2025-01-01
O0840,C011,2025-03-19
O0841,C039,2025-05-18
O0842,C086,2025-03-26
O0843,C008,2025-06-20
O0844,C007,2025-04-12
O0845,C009,2025-05-28
O0846,C031,2025-05-17
O0847,C052,2025-06-21
O0848,C064,2025-02-22
O0849,C067,2025-06-18
O0850,C031,2025-04-03
O0851,C006,2025-03-30
O0852,C069,2025-04-04
O0853,C014,2025-04-14
O0854,C021,2025-06-07
O0855,C030,2025-03-02
O0856,C066,2025-06-21
O0857,C004,2025-02-27
O0858,C008,2025-01-24
O0859,C039,2025-05-02
O0860,C008,2025-01-29
O0861,C063,2025-04-11
O0862,C050,2025-02-14
O0863,C011,2025-01-29
O0864,C064,2025-03-14
O0865,C055,2025-01-22
O0866,C060,2025-02-21
O0867,C040,2025-05-28
O0868,C011,2025-03-08
O0869,C100,2025-03-08
O0870,C040,2025-06-06
O0871,C093,2025-05-29
O0872,C006,2025-01-28
O0873,C057,2025-01-24
O0874,C017,2025-02-23
O0875,C002,2025-02-15
O0876,C049,2025-04-14
O0877,C083,2025-03-07
O0878,C099,2025-03-31
O0879,C079,2025-01-29
O0880,C074,2025-05-13
O0881,C033,2025-05-28
O0882,C075,2025-05-04
O0883,C090,2025-05-25
O0884,C074,2025-01-07
O0885,C081,2025-04-04
O0886,C056,2025-01-19
O0887,C078,2025-05-24
O0888,C017,2025-03-08
O0889,C098,2025-04-14
O0890,C045,2025-03-18
O0891,C023,2025-01-11
O0892,C049,2025-03-29
O0893,C096,2025-06-23
O0894,C096,2025-03-22
O0895,C033,2025-06-23
O0896,C055,2025-03-25
O0897,C011,2025-03-18
O0898,C094,2025-02-10
O0899,C055,2025-05-18
O0900,C096,2025-06-10
O0901,C077,2025-06-27
O0902,C036,2025-02-11
O0903,C022,2025-04-20
O0904,C096,2025-05-11
O0905,C079,2025-04-05
O0906,C016,2025-03-31
O0907,C049,2025-03-09
O0908,C041,2025-02-28
O0909,C028,2025-05-20
O0910,C031,2025-02-03
O0911,C083,2025-01-05
O0912,C005,2025-04-28
O0913,C019,2025-03-06
O0914,C045,2025-05-16
O0915,C027,2025-01-11
O0916,C049,2025-03-07
O0917,C085,2025-02-23
O0918,C077,2025-03-20
O0919,C098,2025-06-06
O0920,C072,2025-02-06
O0921,C029,2025-01-16
O0922,C097,2025-04-19
O0923,C090,2025-05-29
O0924,C086,2025-03-28
O0925,C045,2025-06-11
O0926,C038,2025-01-04
O0927,C036,2025-04-21
O0928,C032,2025-04-01
O0929,C097,2025-04-02
O0930,C098,2025-04-14
O0931,C030,2025-06-03
O0932,C017,2025-04-17
O0933,C080,2025-06-04
O0934,C025,2025-02-10
O0935,C020,2025-03-18
O0936,C037,2025-04-01
O0937,C030,2025-02-21
O0938,C022,2025-03-10
O0939,C050,2025-02-25
O0940,C010,2025-03-13
O0941,C037,2025-05-13
O0942,C077,2025-05-13
O0943,C012,2025-01-19
O0944,C021,2025-03-04
O0945,C098,2025-04-28
O0946,C059,2025-06-18
O0947,C048,2025-03-29
O0948,C048,2025-02-02
O0949,C041,2025-05-29
O0950,C082,2025-06-03
O0951,C069,2025-01-18
O0952,C051,2025-06-03
O0953,C058,2025-02-18
O0954,C066,2025-01-25
O0955,C060,2025-01-03
O0956,C047,2025-02-03
O0957,C041,2025-02-15
O0958,C018,2025-02-01
O0959,C084,2025-02-16
O0960,C098,2025-03-25
O0961,C060,2025-01-07
O0962,C038,2025-03-11
O0963,C055,2025-01-08
O0964,C004,2025-04-24
O0965,C066,2025-02-04
O0966,C080,2025-01-26
O0967,C044,2025-06-05
O0968,C096,2025-05-04
O0969,C001,2025-03-10
O0970,C067,2025-01-06
O0971,C072,2025-03-02
O0972,C037,2025-05-14
O0973,C050,2025-03-25
O0974,C040,2025-02-26
O0975,C057,2025-06-19
O0976,C028,2025-01-25
O0977,C079,2025-02-23
O0978,C056,2025-01-28
O0979,C081,2025-04-11
O0980,C090,2025-01-12
O0981,C010,2025-06-26
O0982,C077,2025-01-02
O0983,C095,2025-04-05
O0984,C043,2025-06-21
O0985,C098,2025-01-19
O0986,C007,2025-03-14
O0987,C077,2025-06-21
O0988,C028,2025-01-09
O0989,C040,2025-02-23
O0990,C081,2025-04-30
O0991,C018,2025-04-28
O0992,C017,2025-06-29
O0993,C070,2025-04-28
O0994,C030,2025-02-13
O0995,C066,2025-03-18
O0996,C017,2025-03-22
O0997,C054,2025-03-29
O0998,C043,2025-01-12
